,created_at,tree_dbh,curb_loc,health,steward,guards,sidewalk,user_type,problems,spc_common,spc_latin,nta,nta_name,borocode,boro_ct,boroname,zip_city,cb_num,st_senate,st_assem,cncldist
22,2015-08-18,30,OnCurb,1,,,NoDamage,TreesCount Staff,,green ash,Fraxinus pennsylvanica,MN03,Central Harlem North-Polo Grounds,1,1021200,Manhattan,New York,110,30,70,9
23,2016-09-11,4,OnCurb,1,,,NoDamage,TreesCount Staff,,Siberian elm,Ulmus pumila,QN42,Oakland Gardens,4,4138501,Queens,Oakland Gardens,411,11,26,23
24,2015-09-24,5,OnCurb,1,1or2,,Damage,NYC Parks Staff,,Schumard's oak,Quercus shumardii,QN29,Elmhurst,4,4047500,Queens,Elmhurst,404,16,35,25
25,2015-07-13,5,OffsetFromCurb,1,1or2,,NoDamage,NYC Parks Staff,,green ash,Fraxinus pennsylvanica,SI48,Arden Heights,5,5017010,Staten Island,Staten Island,503,24,63,51
26,2016-07-22,27,OnCurb,1,,,Damage,TreesCount Staff,Stones,American elm,Ulmus americana,BK61,Crown Heights North,3,3024700,Brooklyn,Brooklyn,303,25,56,36
27,2016-08-07,6,OnCurb,1,,,NoDamage,Volunteer,,cherry,Prunus,QN56,Ozone Park,4,4008600,Queens,Ozone Park,410,15,23,32
28,2015-10-01,22,OnCurb,1,,,NoDamage,TreesCount Staff,StonesTrunkOther,pin oak,Quercus palustris,MN36,Washington Heights South,1,1024500,Manhattan,New York,112,31,71,7
29,2015-06-22,11,OnCurb,1,3or4,Unsure,Damage,Volunteer,StonesWiresRopeBranchLights,littleleaf linden,Tilia cordata,SI28,Port Richmond,5,5020700,Staten Island,Staten Island,501,23,61,49
30,2015-10-09,28,OnCurb,1,,,NoDamage,NYC Parks Staff,,pin oak,Quercus palustris,MN35,Washington Heights North,1,1027300,Manhattan,New York,112,31,71,10
31,2015-09-22,5,OnCurb,1,1or2,Helpful,Damage,Volunteer,,London planetree,Platanus x acerifolia,MN12,Upper West Side,1,1018900,Manhattan,New York,107,30,69,7
32,2015-06-27,14,OnCurb,0,,,Damage,Volunteer,BranchLights,red horse chestnut,Aesculus x carnea,QN43,Bellerose,4,4162100,Queens,Bellerose,413,11,33,23
33,2015-10-21,6,OnCurb,1,,,NoDamage,TreesCount Staff,,green ash,Fraxinus pennsylvanica,QN17,Forest Hills,4,4071303,Queens,Forest Hills,406,16,28,29
34,2015-10-07,6,OnCurb,1,1or2,Helpful,NoDamage,NYC Parks Staff,,London planetree,Platanus x acerifolia,QN21,Middle Village,4,4066300,Queens,Middle Village,405,15,30,30
35,2016-06-29,7,OnCurb,1,,,NoDamage,Volunteer,,cherry,Prunus,MN15,Clinton,1,1012700,Manhattan,New York,104,27,75,3
36,2016-09-12,4,OnCurb,1,,,NoDamage,Volunteer,,American hornbeam,Carpinus caroliniana,QN42,Oakland Gardens,4,4129102,Queens,Queens Village,411,11,24,23
37,2015-08-11,7,OnCurb,1,1or2,,NoDamage,Volunteer,,crimson king maple,Acer platanoides 'Crimson King',SI48,Arden Heights,5,5017010,Staten Island,Staten Island,503,24,62,51
38,2015-08-11,15,OnCurb,1,,,Damage,Volunteer,StonesWiresRope,Norway maple,Acer platanoides,QN61,Jamaica,4,4020400,Queens,Jamaica,412,10,32,28
39,2015-07-11,5,OnCurb,1,3or4,,NoDamage,TreesCount Staff,,cherry,Prunus,BK95,Erasmus,3,3082600,Brooklyn,Brooklyn,317,21,42,40
40,2015-07-02,8,OnCurb,1,,,Damage,NYC Parks Staff,,silver maple,Acer saccharinum,QN20,Ridgewood,4,4059500,Queens,Ridgewood,405,15,37,30
41,2016-07-25,6,OnCurb,1,,Helpful,NoDamage,Volunteer,WiresRope,pin oak,Quercus palustris,BX59,Westchester-Unionport,2,2007800,Bronx,Bronx,209,32,87,18
42,2015-10-19,13,OnCurb,1,,,Damage,TreesCount Staff,,cherry,Prunus,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3,3070201,Brooklyn,Brooklyn,318,19,59,46
43,2015-08-03,14,OnCurb,1,,,Damage,Volunteer,MetalGrates,pin oak,Quercus palustris,QN28,Jackson Heights,4,4027700,Queens,Jackson Heights,403,13,34,25
44,2015-07-27,7,OnCurb,1,,,NoDamage,TreesCount Staff,,Japanese zelkova,Zelkova serrata,SI25,Oakwood-Oakwood Beach,5,5013800,Staten Island,Staten Island,503,24,62,50
45,2015-11-21,4,OnCurb,1,1or2,Helpful,Damage,Volunteer,,ginkgo,Ginkgo biloba,QN28,Jackson Heights,4,4032900,Queens,East Elmhurst,403,13,35,22
46,2015-07-11,5,OnCurb,1,1or2,,NoDamage,Volunteer,,Callery pear,Pyrus calleryana,BK35,Stuyvesant Heights,3,3029500,Brooklyn,Brooklyn,303,25,56,36
47,2015-11-20,21,OnCurb,1,,,Damage,TreesCount Staff,Stones,pin oak,Quercus palustris,QN19,Glendale,4,4063700,Queens,Ridgewood,405,15,28,30
48,2015-10-22,3,OffsetFromCurb,0,3or4,Helpful,Damage,Volunteer,,Callery pear,Pyrus calleryana,MN34,East Harlem North,1,1024200,Manhattan,New York,111,30,68,9
49,2015-12-07,21,OffsetFromCurb,0,,Harmful,NoDamage,TreesCount Staff,StonesBranchLights,London planetree,Platanus x acerifolia,QN50,Elmhurst-Maspeth,4,4026500,Queens,Woodside,404,16,39,25
50,2016-07-27,7,OnCurb,1,,Helpful,Damage,TreesCount Staff,,Turkish hazelnut,Corylus colurna,SI11,Charleston-Richmond Valley-Tottenville,5,5024800,Staten Island,Staten Island,503,24,62,51
51,2015-08-03,7,OnCurb,0,,,Damage,TreesCount Staff,,Callery pear,Pyrus calleryana,MN36,Washington Heights South,1,1026500,Manhattan,New York,112,31,71,10
52,2016-05-11,15,OnCurb,0,,,NoDamage,NYC Parks Staff,,red horse chestnut,Aesculus x carnea,MN12,Upper West Side,1,1016900,Manhattan,New York,107,29,69,6
53,2015-08-19,24,OnCurb,0,,,Damage,Volunteer,,honeylocust,Gleditsia triacanthos var. inermis,QN70,Astoria,4,4006300,Queens,Astoria,401,12,36,22
54,2016-07-04,11,OnCurb,1,,,Damage,Volunteer,,littleleaf linden,Tilia cordata,QN31,Hunters Point-Sunnyside-West Maspeth,4,4019900,Queens,Long Island City,402,12,37,26
55,2015-10-15,3,OnCurb,1,1or2,Helpful,Damage,Volunteer,,Amur maple,Acer ginnala,QN33,Cambria Heights,4,4061400,Queens,Cambria Heights,413,14,33,27
56,2015-11-10,2,OnCurb,1,,,Damage,Volunteer,RootOtherTrunkOtherBranchOther,pin oak,Quercus palustris,QN23,College Point,4,4090700,Queens,Flushing,407,11,27,19
57,2015-07-25,6,OnCurb,1,1or2,,Damage,Volunteer,,American linden,Tilia americana,QN20,Ridgewood,4,4053900,Queens,Ridgewood,405,12,37,34
58,2016-06-27,5,OnCurb,1,,,NoDamage,TreesCount Staff,,pin oak,Quercus palustris,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4,4092800,Queens,Rockaway Park,414,15,23,32
59,2016-06-16,4,OnCurb,1,1or2,Helpful,Damage,Volunteer,,American elm,Ulmus americana,BK37,Park Slope-Gowanus,3,3015700,Brooklyn,Brooklyn,306,21,52,39
60,2015-11-01,29,OnCurb,1,,,Damage,NYC Parks Staff,BranchLights,catalpa,Catalpa,SI05,New Springville-Bloomfield-Travis,5,5029103,Staten Island,Staten Island,502,24,63,50
61,2015-11-11,18,OnCurb,1,,Unsure,Damage,TreesCount Staff,StonesWiresRopeBranchLights,littleleaf linden,Tilia cordata,QN33,Cambria Heights,4,4061200,Queens,Cambria Heights,413,14,33,27
62,2015-06-08,17,OnCurb,0,,Helpful,Damage,Volunteer,,littleleaf linden,Tilia cordata,BK37,Park Slope-Gowanus,3,3015100,Brooklyn,Brooklyn,306,21,44,39
63,2016-06-24,4,OnCurb,1,,,Damage,TreesCount Staff,BranchLights,pin oak,Quercus palustris,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3,3012700,Brooklyn,Brooklyn,306,25,52,33
64,2015-08-12,16,OnCurb,0,1or2,Harmful,NoDamage,Volunteer,StonesTrunkOtherBranchOther,American linden,Tilia americana,MN23,West Village,1,1007300,Manhattan,New York,102,27,66,3
65,2016-05-17,6,OnCurb,1,,,NoDamage,TreesCount Staff,,American elm,Ulmus americana,BK33,Carroll Gardens-Columbia Street-Red Hook,3,3004500,Brooklyn,Brooklyn,306,26,52,39
66,2015-08-12,5,OnCurb,1,,,Damage,Volunteer,RootOther,Norway maple,Acer platanoides,MN40,Upper East Side-Carnegie Hill,1,1014801,Manhattan,New York,108,28,73,4
67,2015-10-23,14,OnCurb,1,,,NoDamage,TreesCount Staff,,Callery pear,Pyrus calleryana,BK81,Brownsville,3,3090000,Brooklyn,Brooklyn,316,20,55,41
68,2015-09-19,6,OffsetFromCurb,1,,,NoDamage,TreesCount Staff,BranchLights,littleleaf linden,Tilia cordata,BX34,Melrose South-Mott Haven North,2,2007500,Bronx,Bronx,201,32,79,17
69,2015-09-25,3,OnCurb,1,,,Damage,Volunteer,TrunkOtherBranchLightsBranchOther,English oak,Quercus robur,BK31,Bay Ridge,3,3004400,Brooklyn,Brooklyn,310,22,64,43
70,2016-06-26,27,OnCurb,1,,,NoDamage,Volunteer,,Norway maple,Acer platanoides,BK77,Bushwick North,3,3043300,Brooklyn,Brooklyn,304,18,53,37
71,2016-08-30,24,OnCurb,1,,,NoDamage,TreesCount Staff,BranchLights,London planetree,Platanus x acerifolia,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3,3062000,Brooklyn,Brooklyn,315,22,45,48
72,2015-08-06,9,OnCurb,1,,Helpful,Damage,Volunteer,,Sophora,Styphnolobium japonicum,BK68,Fort Greene,3,3003100,Brooklyn,Brooklyn,302,25,57,35
73,2015-06-21,13,OnCurb,1,1or2,Harmful,NoDamage,Volunteer,,green ash,Fraxinus pennsylvanica,MN25,Battery Park City-Lower Manhattan,1,1031704,Manhattan,New York,101,26,65,1
74,2016-07-18,17,OffsetFromCurb,0,,,Damage,Volunteer,,katsura tree,Cercidiphyllum japonicum,QN37,Kew Gardens Hills,4,4077902,Queens,Flushing,408,15,27,24
75,2015-07-21,16,OnCurb,0,,,Damage,TreesCount Staff,Stones,London planetree,Platanus x acerifolia,BK82,East New York,3,3122000,Brooklyn,Brooklyn,305,19,60,42
76,2015-10-09,9,OnCurb,0,,Helpful,Damage,TreesCount Staff,,Callery pear,Pyrus calleryana,MN40,Upper East Side-Carnegie Hill,1,1015002,Manhattan,New York,108,28,73,4
77,2015-12-02,14,OnCurb,1,,,Damage,TreesCount Staff,Stones,American elm,Ulmus americana,SI35,New Brighton-Silver Lake,5,5005900,Staten Island,Staten Island,501,24,61,49
78,2015-09-27,20,OnCurb,1,,,Damage,TreesCount Staff,,maple,Acer,MN40,Upper East Side-Carnegie Hill,1,1015002,Manhattan,New York,108,28,73,4
79,2015-09-19,14,OnCurb,0,,,Damage,Volunteer,,Japanese zelkova,Zelkova serrata,QN55,South Ozone Park,4,4015802,Queens,South Richmond Hill,410,10,24,28
80,2015-11-03,3,OnCurb,1,3or4,Helpful,NoDamage,TreesCount Staff,,cherry,Prunus,SI35,New Brighton-Silver Lake,5,5005900,Staten Island,Staten Island,501,24,61,49
81,2015-10-31,4,OnCurb,0,,,Damage,TreesCount Staff,,pin oak,Quercus palustris,QN43,Bellerose,4,4130100,Queens,Queens Village,413,11,24,23
82,2016-09-06,18,OnCurb,1,,,NoDamage,NYC Parks Staff,,American elm,Ulmus americana,SI35,New Brighton-Silver Lake,5,5010500,Staten Island,Staten Island,501,23,61,49
83,2015-10-28,7,OnCurb,1,,,Damage,TreesCount Staff,,American hophornbeam,Ostrya virginiana,SI05,New Springville-Bloomfield-Travis,5,5027301,Staten Island,Staten Island,502,24,63,50
84,2015-09-16,3,OnCurb,1,,Helpful,NoDamage,Volunteer,BranchLights,American elm,Ulmus americana,SI36,Old Town-Dongan Hills-South Beach,5,5011401,Staten Island,Staten Island,502,24,64,50
85,2015-09-03,5,OnCurb,1,,,Damage,TreesCount Staff,BranchLights,Callery pear,Pyrus calleryana,QN72,Steinway,4,4033100,Queens,Flushing,401,13,35,21
86,2016-09-15,2,OnCurb,1,1or2,Helpful,NoDamage,NYC Parks Staff,,maple,Acer,SI54,Great Kills,5,5014604,Staten Island,Staten Island,503,24,62,51
87,2015-07-15,5,OnCurb,1,,,NoDamage,TreesCount Staff,Stones,London planetree,Platanus x acerifolia,BX03,Eastchester-Edenwald-Baychester,2,2048400,Bronx,Bronx,212,36,83,12
88,2015-12-01,14,OnCurb,1,,,Damage,NYC Parks Staff,,bur oak,Quercus macrocarpa,QN03,Springfield Gardens South-Brookville,4,4032000,Queens,Springfield Gardens,413,10,31,31
89,2016-09-06,3,OffsetFromCurb,0,1or2,Helpful,Damage,Volunteer,Stones,Sophora,Styphnolobium japonicum,BX13,Co-op City,2,2046201,Bronx,Bronx,210,36,82,12
90,2016-08-31,18,OnCurb,1,,,NoDamage,TreesCount Staff,,cockspur hawthorn,Crataegus crusgalli var. inermis,BK82,East New York,3,3112400,Brooklyn,Brooklyn,305,19,60,42
91,2015-11-29,3,OnCurb,1,,,Damage,TreesCount Staff,,littleleaf linden,Tilia cordata,BK76,Greenpoint,3,3057500,Brooklyn,Brooklyn,301,18,50,33
92,2015-11-04,14,OnCurb,1,,,Damage,NYC Parks Staff,,honeylocust,Gleditsia triacanthos var. inermis,BK44,Madison,3,3054800,Brooklyn,Brooklyn,315,17,41,48
93,2016-06-25,9,OnCurb,1,,,NoDamage,Volunteer,,littleleaf linden,Tilia cordata,QN08,St. Albans,4,4042400,Queens,Jamaica,412,14,29,27
94,2015-06-17,31,OnCurb,1,,,Damage,TreesCount Staff,Stones,pin oak,Quercus palustris,QN25,Corona,4,4043900,Queens,Corona,404,13,39,21
95,2015-07-18,5,OnCurb,1,1or2,Helpful,Damage,Volunteer,,cherry,Prunus,SI07,Westerleigh,5,5016901,Staten Island,Staten Island,501,24,63,49
96,2015-11-10,6,OnCurb,1,,,NoDamage,TreesCount Staff,,Norway maple,Acer platanoides,QN20,Ridgewood,4,4055500,Queens,Ridgewood,405,12,38,34
97,2015-09-24,4,OnCurb,1,,,Damage,TreesCount Staff,,American linden,Tilia americana,BK61,Crown Heights North,3,3024700,Brooklyn,Brooklyn,303,25,56,36
98,2015-10-23,4,OnCurb,1,,,NoDamage,NYC Parks Staff,,cherry,Prunus,BK28,Bensonhurst West,3,3018200,Brooklyn,Brooklyn,311,22,47,43
99,2015-09-13,7,OnCurb,1,,,Damage,Volunteer,StonesBranchLights,English oak,Quercus robur,QN03,Springfield Gardens South-Brookville,4,4032000,Queens,Springfield Gardens,413,10,31,31
100,2015-10-15,6,OnCurb,2,,,NoDamage,TreesCount Staff,,cherry,Prunus,QN54,Richmond Hill,4,4013000,Queens,Richmond Hill,409,10,28,32
101,2015-10-08,5,OnCurb,1,,,NoDamage,Volunteer,MetalGratesRootOtherBranchOther,Japanese zelkova,Zelkova serrata,BK31,Bay Ridge,3,3016000,Brooklyn,Brooklyn,310,22,46,43
102,2015-11-09,12,OnCurb,1,,,Damage,Volunteer,Stones,English oak,Quercus robur,QN31,Hunters Point-Sunnyside-West Maspeth,4,4001900,Queens,Long Island City,402,12,37,26
103,2015-07-02,15,OnCurb,1,,,Damage,Volunteer,Stones,Norway maple,Acer platanoides,SI54,Great Kills,5,5015603,Staten Island,Staten Island,503,24,62,51
104,2015-07-27,3,OnCurb,1,1or2,Unsure,NoDamage,Volunteer,,Japanese tree lilac,Syringa reticulata,BK61,Crown Heights North,3,3034700,Brooklyn,Brooklyn,308,25,56,36
105,2016-09-06,24,OnCurb,1,,,NoDamage,Volunteer,StonesBranchLights,London planetree,Platanus x acerifolia,MN40,Upper East Side-Carnegie Hill,1,1014300,Manhattan,Central Park,108,29,69,6
106,2015-06-28,7,OnCurb,1,,,NoDamage,NYC Parks Staff,,green ash,Fraxinus pennsylvanica,QN08,St. Albans,4,4042400,Queens,Jamaica,412,14,29,27
107,2015-06-09,5,OnCurb,1,,,Damage,TreesCount Staff,,London planetree,Platanus x acerifolia,QN49,Whitestone,4,4098700,Queens,Whitestone,407,11,26,19
108,2015-09-05,6,OnCurb,1,,,NoDamage,Volunteer,,cherry,Prunus,BK88,Borough Park,3,3023600,Brooklyn,Brooklyn,312,17,48,44
109,2015-06-08,4,OnCurb,1,,,Damage,Volunteer,StonesWiresRopeTrunkLightsBranchLights,Siberian elm,Ulmus pumila,QN49,Whitestone,4,4103900,Queens,Whitestone,407,11,26,19
110,2015-07-27,30,OnCurb,1,,,Damage,TreesCount Staff,,London planetree,Platanus x acerifolia,QN49,Whitestone,4,4094500,Queens,Whitestone,407,11,26,19
111,2015-11-04,11,OnCurb,1,,,NoDamage,TreesCount Staff,,Japanese zelkova,Zelkova serrata,QN30,Maspeth,4,4052100,Queens,Maspeth,405,15,30,30
112,2015-09-13,25,OnCurb,1,,Harmful,Damage,Volunteer,MetalGratesRootOtherTrunkOther,English oak,Quercus robur,QN42,Oakland Gardens,4,4137700,Queens,Oakland Gardens,411,16,25,23
113,2015-10-17,6,OnCurb,1,1or2,Helpful,Damage,Volunteer,RootOther,green ash,Fraxinus pennsylvanica,BK37,Park Slope-Gowanus,3,3015100,Brooklyn,Brooklyn,306,21,44,39
114,2015-09-13,4,OnCurb,0,,,NoDamage,Volunteer,,Schumard's oak,Quercus shumardii,SI11,Charleston-Richmond Valley-Tottenville,5,5024402,Staten Island,Staten Island,503,24,62,51
115,2016-09-16,16,OnCurb,0,,,Damage,Volunteer,StonesMetalGrates,eastern hemlock,Tsuga canadensis,QN01,South Jamaica,4,4025400,Queens,Jamaica,412,14,32,28
116,2016-03-13,18,OnCurb,2,,,Damage,TreesCount Staff,StonesRootOtherBranchOther,sassafras,Sassafras albidum,SI07,Westerleigh,5,5018901,Staten Island,Staten Island,501,24,63,50
117,2016-07-08,22,OnCurb,1,,,NoDamage,Volunteer,,honeylocust,Gleditsia triacanthos var. inermis,BK73,North Side-South Side,3,3051500,Brooklyn,Brooklyn,301,18,50,33
118,2015-09-16,6,OnCurb,1,,,NoDamage,NYC Parks Staff,,pin oak,Quercus palustris,QN43,Bellerose,4,4130100,Queens,Queens Village,413,11,24,23
119,2016-06-04,16,OnCurb,1,,,Damage,TreesCount Staff,StonesRootOther,pin oak,Quercus palustris,BX06,Belmont,2,2039300,Bronx,Bronx,206,33,78,15
120,2016-06-16,8,OnCurb,1,,,Damage,Volunteer,StonesTrunkOther,silver maple,Acer saccharinum,BX49,Pelham Parkway,2,2025000,Bronx,Bronx,211,34,80,13
121,2015-08-24,5,OnCurb,1,1or2,,NoDamage,NYC Parks Staff,,Japanese zelkova,Zelkova serrata,QN21,Middle Village,4,4066501,Queens,Middle Village,405,15,30,30
122,2015-12-17,15,OffsetFromCurb,1,,Helpful,Damage,Volunteer,MetalGrates,green ash,Fraxinus pennsylvanica,BX39,Mott Haven-Port Morris,2,2002500,Bronx,Bronx,201,29,84,8
123,2015-08-17,3,OnCurb,1,,,Damage,Volunteer,Stones,sawtooth oak,Quercus acutissima,BX49,Pelham Parkway,2,2022403,Bronx,Bronx,211,34,80,13
124,2015-10-31,6,OnCurb,1,,,NoDamage,Volunteer,Stones,London planetree,Platanus x acerifolia,BX07,Bronxdale,2,2033800,Bronx,Bronx,212,36,80,15
125,2015-07-29,4,OnCurb,1,,,Damage,Volunteer,BranchOther,English oak,Quercus robur,QN19,Glendale,4,4063900,Queens,Ridgewood,405,15,28,30
126,2015-08-15,12,OnCurb,1,,,NoDamage,Volunteer,,cherry,Prunus,SI54,Great Kills,5,5014604,Staten Island,Staten Island,503,24,62,51
127,2015-09-28,16,OnCurb,1,1or2,,NoDamage,Volunteer,,green ash,Fraxinus pennsylvanica,SI11,Charleston-Richmond Valley-Tottenville,5,5022600,Staten Island,Staten Island,503,24,62,51
128,2016-08-31,19,OnCurb,1,,,NoDamage,TreesCount Staff,,catalpa,Catalpa,SI32,Rossville-Woodrow,5,5020804,Staten Island,Staten Island,503,24,62,51
129,2015-08-19,10,OnCurb,1,,Helpful,NoDamage,Volunteer,MetalGrates,ginkgo,Ginkgo biloba,SI36,Old Town-Dongan Hills-South Beach,5,5011401,Staten Island,Staten Island,502,24,64,50
130,2015-07-28,6,OnCurb,1,1or2,Helpful,NoDamage,Volunteer,,Sophora,Styphnolobium japonicum,MN27,Chinatown,1,1000800,Manhattan,New York,103,26,65,1
131,2016-07-17,28,OnCurb,2,,,Damage,TreesCount Staff,,Norway maple,Acer platanoides,MN40,Upper East Side-Carnegie Hill,1,1014300,Manhattan,Central Park,108,29,69,6
132,2015-07-14,16,OnCurb,1,,,Damage,Volunteer,,English oak,Quercus robur,MN32,Yorkville,1,1013600,Manhattan,New York,108,28,76,5
133,2015-09-08,7,OnCurb,1,,,NoDamage,Volunteer,,London planetree,Platanus x acerifolia,QN57,Lindenwood-Howard Beach,4,4089200,Queens,Howard Beach,410,15,23,32
134,2015-09-21,5,OffsetFromCurb,1,,,NoDamage,TreesCount Staff,,littleleaf linden,Tilia cordata,BK79,Ocean Hill,3,3036900,Brooklyn,Brooklyn,316,25,55,37
135,2015-11-12,4,OnCurb,0,,,Damage,Volunteer,BranchOther,honeylocust,Gleditsia triacanthos var. inermis,BK77,Bushwick North,3,3044300,Brooklyn,Brooklyn,304,18,53,37
136,2015-09-06,6,OnCurb,1,3or4,Helpful,NoDamage,Volunteer,,honeylocust,Gleditsia triacanthos var. inermis,QN42,Oakland Gardens,4,4138501,Queens,Oakland Gardens,411,16,26,23
137,2015-11-13,7,OnCurb,1,1or2,,Damage,Volunteer,,American linden,Tilia americana,BX10,Pelham Bay-Country Club-City Island,2,2030000,Bronx,Bronx,210,34,82,13
138,2016-07-19,3,OnCurb,1,3or4,,NoDamage,Volunteer,,cherry,Prunus,BX36,University Heights-Morris Heights,2,2021502,Bronx,Bronx,205,29,77,14
139,2015-07-21,20,OnCurb,1,,,NoDamage,Volunteer,,littleleaf linden,Tilia cordata,SI54,Great Kills,5,5013203,Staten Island,Staten Island,503,24,64,51
140,2015-08-09,15,OnCurb,1,,,Damage,TreesCount Staff,TrunkOther,Siberian elm,Ulmus pumila,SI36,Old Town-Dongan Hills-South Beach,5,5007000,Staten Island,Staten Island,502,24,64,50
141,2015-07-10,16,OnCurb,0,,,NoDamage,NYC Parks Staff,StonesBranchLights,Japanese zelkova,Zelkova serrata,QN76,Baisley Park,4,4019200,Queens,Jamaica,412,10,32,28
142,2015-10-16,26,OnCurb,1,,,Damage,Volunteer,BranchLights,willow oak,Quercus phellos,MN31,Lenox Hill-Roosevelt Island,1,1013400,Manhattan,New York,108,28,76,4
143,2016-05-20,19,OnCurb,1,,,Damage,Volunteer,TrunkOtherBranchOther,honeylocust,Gleditsia triacanthos var. inermis,QN57,Lindenwood-Howard Beach,4,4088400,Queens,Howard Beach,410,15,23,32
144,2016-07-08,7,OffsetFromCurb,1,,,NoDamage,Volunteer,Stones,black oak,Quercus velutina,BK42,Flatbush,3,3152200,Brooklyn,Brooklyn,314,21,44,40
145,2016-04-22,4,OnCurb,1,,,NoDamage,TreesCount Staff,,Japanese tree lilac,Syringa reticulata,BK29,Bensonhurst East,3,3040600,Brooklyn,Brooklyn,311,22,47,47
146,2016-09-09,12,OnCurb,0,,Unsure,NoDamage,NYC Parks Staff,StonesRootOtherBranchOther,silver linden,Tilia tomentosa,BX59,Westchester-Unionport,2,2020400,Bronx,Bronx,210,32,87,18
